refdes,method,stream,parameter
RS01SBPD-DP01A-01-CTDPFL104,recovered_inst,dpc_ctd_instrument_recovered,pressure
RS01SBPD-DP01A-01-CTDPFL104,recovered_inst,dpc_ctd_instrument_recovered,density
RS01SBPD-DP01A-01-CTDPFL104,recovered_inst,dpc_ctd_instrument_recovered,temp
RS01SBPD-DP01A-01-CTDPFL104,recovered_inst,dpc_ctd_instrument_recovered,practical_salinity
RS01SBPD-DP01A-01-CTDPFL104,recovered_inst,dpc_ctd_instrument_recovered,dpc_ctd_seawater_conductivity
RS01SBPD-DP01A-01-CTDPFL104,recovered_wfp,dpc_ctd_instrument_recovered,pressure
RS01SBPD-DP01A-01-CTDPFL104,recovered_wfp,dpc_ctd_instrument_recovered,density
RS01SBPD-DP01A-01-CTDPFL104,recovered_wfp,dpc_ctd_instrument_recovered,temp
RS01SBPD-DP01A-01-CTDPFL104,recovered_wfp,dpc_ctd_instrument_recovered,practical_salinity
RS01SBPD-DP01A-01-CTDPFL104,recovered_wfp,dpc_ctd_instrument_recovered,dpc_ctd_seawater_conductivity
RS01SBPD-DP01A-02-VEL3DA103,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_eastward_velocity
RS01SBPD-DP01A-02-VEL3DA103,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_northward_velocity
RS01SBPD-DP01A-02-VEL3DA103,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_ascending
RS01SBPD-DP01A-02-VEL3DA103,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_descending
RS01SBPD-DP01A-02-VEL3DA103,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_eastward_velocity
RS01SBPD-DP01A-02-VEL3DA103,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_northward_velocity
RS01SBPD-DP01A-02-VEL3DA103,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_ascending
RS01SBPD-DP01A-02-VEL3DA103,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_descending
RS01SBPD-DP01A-03-FLCDRA102,recovered_inst,dpc_flcdrtd_instrument_recovered,flcdr_x_mmp_cds_fluorometric_cdom
RS01SBPD-DP01A-03-FLCDRA102,recovered_wfp,dpc_flcdrtd_instrument_recovered,flcdr_x_mmp_cds_fluorometric_cdom
RS01SBPD-DP01A-04-FLNTUA102,recovered_inst,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_total_volume_scattering_coefficient
RS01SBPD-DP01A-04-FLNTUA102,recovered_inst,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_fluorometric_chlorophyll_a
RS01SBPD-DP01A-04-FLNTUA102,recovered_inst,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_bback_total
RS01SBPD-DP01A-04-FLNTUA102,recovered_wfp,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_total_volume_scattering_coefficient
RS01SBPD-DP01A-04-FLNTUA102,recovered_wfp,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_fluorometric_chlorophyll_a
RS01SBPD-DP01A-04-FLNTUA102,recovered_wfp,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_bback_total
RS01SBPD-DP01A-05-OPTAAC102,recovered_inst,dpc_acs_instrument_recovered,beam_attenuation
RS01SBPD-DP01A-05-OPTAAC102,recovered_inst,dpc_acs_instrument_recovered,optical_absorption
RS01SBPD-DP01A-05-OPTAAC102,recovered_wfp,dpc_acs_instrument_recovered,beam_attenuation
RS01SBPD-DP01A-05-OPTAAC102,recovered_wfp,dpc_acs_instrument_recovered,optical_absorption
RS01SBPD-DP01A-06-DOSTAD104,recovered_inst,dpc_optode_instrument_recovered,dissolved_oxygen
RS01SBPD-DP01A-06-DOSTAD104,recovered_inst,dpc_optode_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen
RS01SBPD-DP01A-06-DOSTAD104,recovered_wfp,dpc_optode_instrument_recovered,dissolved_oxygen
RS01SBPD-DP01A-06-DOSTAD104,recovered_wfp,dpc_optode_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,corrected_echo_intensity_beam1
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,corrected_echo_intensity_beam2
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,corrected_echo_intensity_beam3
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,corrected_echo_intensity_beam4
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,eastward_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,northward_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,upward_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_beam,error_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,corrected_echo_intensity_beam1
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,corrected_echo_intensity_beam2
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,corrected_echo_intensity_beam3
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,corrected_echo_intensity_beam4
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,eastward_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,northward_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,upward_seawater_velocity
RS01SBPS-PC01A-05-ADCPTD102,streamed,adcp_velocity_earth,error_seawater_velocity
