refdes,method,stream,parameter
RS03ASHS-MJ03B-00-OSMOIA301,recovered_inst,osmoi_a_subcon_instrument_recovered,temp
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample,corrected_compass_direction
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample,seafloor_tilt_magnitude
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample,seafloor_tilt_direction
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample,bottom_pressure
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_meanpres
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_meandepth
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_5minrate
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_10minrate
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_predtide
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_24hr,botsflu_daydepth
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_24hr,botsflu_4wkrate
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_24hr,botsflu_8wkrate
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,density
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,practical_salinity
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,dissolved_oxygen
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,seawater_temperature
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,seawater_pressure
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,seawater_conductivity
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS03AXBS-LJ03A-05-HPIESA301,streamed,echo_sounding,hpies_pressure_L1
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,corrected_echo_intensity_beam1
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,corrected_echo_intensity_beam2
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,corrected_echo_intensity_beam3
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,corrected_echo_intensity_beam4
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,eastward_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,northward_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,upward_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam,error_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,corrected_echo_intensity_beam1
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,corrected_echo_intensity_beam2
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,corrected_echo_intensity_beam3
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,corrected_echo_intensity_beam4
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,eastward_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,northward_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,upward_seawater_velocity
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_earth,error_seawater_velocity
RS03AXBS-LJ03A-11-OPTAAC303,streamed,optaa_sample,beam_attenuation
RS03AXBS-LJ03A-11-OPTAAC303,streamed,optaa_sample,optical_absorption
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,density
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,practical_salinity
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,dissolved_oxygen
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,seawater_temperature
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,seawater_pressure
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,seawater_conductivity
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,density
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,practical_salinity
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,dissolved_oxygen
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,seawater_temperature
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,seawater_pressure
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,seawater_conductivity
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,ctd_tc_oxygen
