refdes,method,stream
CE02SHBP-LJ01D-05-ADCPTB104,streamed,adcp_velocity_beam
CE02SHBP-LJ01D-05-ADCPTB104,streamed,adcp_velocity_earth
CE02SHBP-LJ01D-06-CTDBPN106,streamed,ctdbp_no_sample
CE02SHBP-LJ01D-06-DOSTAD106,streamed,ctdbp_no_sample
CE02SHBP-LJ01D-07-VEL3DC108,streamed,vel3d_cd_velocity_data
CE02SHBP-LJ01D-08-OPTAAD106,streamed,optaa_sample
CE02SHBP-LJ01D-09-PCO2WB103,streamed,pco2w_b_sami_data_record
CE02SHBP-LJ01D-10-PHSEND103,streamed,phsen_data_record
CE04OSBP-LJ01C-05-ADCPSI103,streamed,adcp_velocity_beam
CE04OSBP-LJ01C-05-ADCPSI103,streamed,adcp_velocity_earth
CE04OSBP-LJ01C-06-CTDBPO108,streamed,ctdbp_no_sample
CE04OSBP-LJ01C-06-DOSTAD108,streamed,ctdbp_no_sample
CE04OSBP-LJ01C-07-VEL3DC107,streamed,vel3d_cd_velocity_data
CE04OSBP-LJ01C-08-OPTAAC104,streamed,optaa_sample
CE04OSBP-LJ01C-09-PCO2WB104,streamed,pco2w_b_sami_data_record
CE04OSBP-LJ01C-10-PHSEND107,streamed,phsen_data_record
CE04OSPD-DP01B-01-CTDPFL105,recovered_inst,dpc_ctd_instrument_recovered
CE04OSPD-DP01B-01-CTDPFL105,recovered_wfp,dpc_ctd_instrument_recovered
CE04OSPD-DP01B-02-VEL3DA105,recovered_inst,dpc_acm_instrument_recovered
CE04OSPD-DP01B-02-VEL3DA105,recovered_wfp,dpc_acm_instrument_recovered
CE04OSPD-DP01B-03-FLCDRA103,recovered_inst,dpc_flcdrtd_instrument_recovered
CE04OSPD-DP01B-03-FLCDRA103,recovered_wfp,dpc_flcdrtd_instrument_recovered
CE04OSPD-DP01B-04-FLNTUA103,recovered_inst,dpc_flnturtd_instrument_recovered
CE04OSPD-DP01B-04-FLNTUA103,recovered_wfp,dpc_flnturtd_instrument_recovered
CE04OSPD-DP01B-06-DOSTAD105,recovered_inst,dpc_optode_instrument_recovered
CE04OSPD-DP01B-06-DOSTAD105,recovered_wfp,dpc_optode_instrument_recovered
CE04OSPS-PC01B-4A-CTDPFA109,streamed,ctdpf_optode_sample
CE04OSPS-PC01B-4A-DOSTAD109,streamed,ctdpf_optode_sample
CE04OSPS-PC01B-4B-PHSENA106,streamed,phsen_data_record
