refdes,method,stream
CP01CNPM-RII01-02-ADCPTG010,recovered_host,adcps_jln_stc_instrument_recovered
CP01CNPM-RII01-02-ADCPTG010,recovered_inst,adcp_velocity_earth
CP01CNPM-RII01-02-ADCPTG010,telemetered,adcps_jln_stc_instrument
CP01CNPM-WFP01-01-VEL3DK000,recovered_wfp,vel3d_k_wfp_instrument
CP01CNPM-WFP01-01-VEL3DK000,telemetered,vel3d_k_wfp_stc_instrument
CP01CNPM-WFP01-02-DOFSTK000,recovered_wfp,dofst_k_wfp_instrument_recovered
CP01CNPM-WFP01-02-DOFSTK000,telemetered,dofst_k_wfp_instrument
CP01CNPM-WFP01-03-CTDPFK000,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered
CP01CNPM-WFP01-03-CTDPFK000,telemetered,ctdpf_ckl_wfp_instrument
CP01CNPM-WFP01-04-FLORTK000,recovered_wfp,flort_kn_stc_imodem_instrument_recovered
CP01CNPM-WFP01-04-FLORTK000,telemetered,flort_kn_stc_imodem_instrument
CP01CNPM-WFP01-05-PARADK000,recovered_wfp,parad_k__stc_imodem_instrument_recovered
CP01CNPM-WFP01-05-PARADK000,telemetered,parad_k__stc_imodem_instrument
CP01CNSM-MFD35-01-ADCPTF000,recovered_host,adcpt_acfgm_pd8_dcl_instrument_recovered
CP01CNSM-MFD35-01-ADCPTF000,recovered_inst,adcps_jln_instrument
CP01CNSM-MFD35-01-ADCPTF000,telemetered,adcpt_acfgm_pd8_dcl_instrument
CP01CNSM-MFD35-02-PRESFB000,recovered_host,presf_abc_dcl_tide_measurement_recovered
CP01CNSM-MFD35-02-PRESFB000,recovered_host,presf_abc_dcl_wave_burst_recovered
CP01CNSM-MFD35-02-PRESFB000,recovered_inst,presf_abc_tide_measurement_recovered
CP01CNSM-MFD35-02-PRESFB000,recovered_inst,presf_abc_wave_burst_recovered
CP01CNSM-MFD35-02-PRESFB000,telemetered,presf_abc_dcl_tide_measurement
CP01CNSM-MFD35-02-PRESFB000,telemetered,presf_abc_dcl_wave_burst
CP01CNSM-MFD35-04-VELPTA000,recovered_host,velpt_ab_dcl_instrument_recovered
CP01CNSM-MFD35-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
