node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GA01SUMO-RID16,,,,,,,,,,,,,,,,,,,,,40%,74%,72%,75%,73%,62%,63%,63%,71%,86%,85%,86%,86%,86%,85%,86%,79%,84%,82%,80%,86%,86%,75%,73%,53%,52%,58%,51%
GA01SUMO-RII11,,,,,,,,,,,,,,,,,,,,,30%,53%,53%,49%,49%,48%,48%,14%,66%,58%,67%,66%,72%,68%,53%,40%,38%,42%,42%,49%,82%,81%,81%,80%,59%,72%,61%,52%
GA01SUMO-SBD11,,,,,,,,,,,,,,,,,,,,,19%,27%,25%,11%,2%,3%,,,38%,69%,51%,60%,69%,68%,65%,68%,62%,69%,68%,65%,69%,69%,67%,68%,49%,59%,67%,67%
GA01SUMO-SBD12,,,,,,,,,,,,,,,,,,,,,19%,29%,23%,20%,20%,26%,27%,28%,59%,77%,77%,77%,77%,77%,77%,77%,72%,77%,71%,72%,57%,57%,57%,57%,42%,47%,54%,53%
GA02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,23%,73%,,,,,,,3%,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP02,,,,,,,,,,,,,,,,,,,,,1%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03,,,,,,,,,,,,,,,,,,,,,2%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01,,,,,,,,,,,,,,,,,,,,,47%,100%,100%,91%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIS01,,,,,,,,,,,,,,,,,,,,,47%,100%,100%,84%,16%,,,,9%,,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIS01,,,,,,,,,,,,,,,,,,,,,35%,98%,99%,96%,3%,,,,24%,22%,,,,,,,,,,,,,,,,,,
GA05MOAS-GL364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,97%,100%,100%,100%,100%,86%,94%,93%
GA05MOAS-GL470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,99%,100%,100%,100%,100%,66%,,
GA05MOAS-GL493,,,,,,,,,,,,,,,,,,,,,55%,99%,100%,100%,100%,100%,100%,100%,40%,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL494,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
