refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CP01CNPM-RII01-02-ADCPTG010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01-01-VEL3DK000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01-02-DOFSTK000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01-03-CTDPFK000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01-04-FLORTK000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01-05-PARADK000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-MFD35-01-ADCPTF000,,,,,33.33%,22.58%,,,,,,,,,,,,6.45%,,,,,51.61%,,,,,,,,,,,,58.06%,80.00%,96.77%,96.77%,100.00%,29.03%,,,,,,,,
CP01CNSM-MFD35-02-PRESFB000,,,,,33.33%,100.00%,51.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-MFD35-04-VELPTA000,,,,,33.33%,100.00%,51.61%,,,,,,,,,,,,,,,,51.61%,,,,,,,,,,,,61.29%,80.00%,96.77%,96.77%,90.00%,83.87%,93.33%,96.77%,70.97%,,,,,
CP01CNSM-MFD35-05-PCO2WB000,,,,,3.33%,6.45%,3.23%,,,,,,,,,,,,,,,,9.68%,,,,,,,,,,,,6.45%,3.33%,,,,,,,,,,,,
CP01CNSM-MFD35-06-PHSEND000,,,,,33.33%,100.00%,41.94%,,,,,,,,,,,6.45%,,,,,51.61%,,,,,,,,,,,,35.48%,,,,,,,,,,,,,
CP01CNSM-MFD37-01-OPTAAD000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,6.45%,,,,,41.94%,,,,,,,,,,,,61.29%,80.00%,96.77%,96.77%,86.67%,77.42%,86.67%,87.10%,58.06%,,,,,
CP01CNSM-MFD37-03-CTDBPD000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,6.45%,,,,,51.61%,,,,,,,,,,,,61.29%,80.00%,96.77%,25.81%,,61.29%,100.00%,100.00%,70.97%,,,,,
CP01CNSM-MFD37-04-DOSTAD000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,6.45%,,,,,6.45%,,,,,,,,,,,,61.29%,80.00%,96.77%,96.77%,100.00%,90.32%,100.00%,100.00%,70.97%,,,,,
CP01CNSM-RID26-04-VELPTA000,,,,,33.33%,77.42%,,,,,,,,,,,,9.68%,,,,,80.65%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,6.67%,61.29%,96.67%,54.84%,100.00%,100.00%,100.00%,100.00%,100.00%,96.77%,100.00%,100.00%,100.00%,100.00%,30.00%
CP01CNSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,9.68%,,,,26.67%,100.00%,100.00%,100.00%,100.00%,100.00%,74.19%,,,,,,,,,,,,61.29%,10.00%,,,,,,,
CP01CNSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,9.68%,,,,,80.65%,100.00%,83.87%,,,29.03%,100.00%,100.00%,100.00%,100.00%,25.81%,,61.29%,96.67%,,,,61.29%,100.00%,100.00%,96.77%,100.00%,100.00%,100.00%,93.55%,26.67%
CP01CNSM-RID26-08-SPKIRB000,,,,,30.00%,61.29%,,,,,,,,,,,,6.45%,,,,,67.74%,86.67%,87.10%,83.87%,86.67%,61.29%,,,,,,,51.61%,80.00%,45.16%,87.10%,83.33%,80.65%,86.67%,67.74%,54.84%,50.00%,61.29%,83.33%,87.10%,23.33%
CP01CNSM-RID27-01-OPTAAD000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,9.68%,,,,,67.74%,86.67%,87.10%,83.87%,86.67%,61.29%,,,,,,,61.29%,96.67%,54.84%,100.00%,93.33%,87.10%,86.67%,87.10%,83.87%,85.71%,87.10%,83.33%,87.10%,23.33%
CP01CNSM-RID27-02-FLORTD000,,,,,30.00%,83.87%,87.10%,50.00%,,,,,,,,,,6.45%,,,,,67.74%,86.67%,87.10%,83.87%,86.67%,61.29%,,,,,,,51.61%,80.00%,45.16%,87.10%,70.00%,80.65%,86.67%,93.55%,93.55%,100.00%,96.77%,83.33%,87.10%,23.33%
CP01CNSM-RID27-03-CTDBPC000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45%,,,,,,,,
CP01CNSM-RID27-04-DOSTAD000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,6.45%,,,,,67.74%,86.67%,87.10%,83.87%,86.67%,61.29%,,,,,,,51.61%,80.00%,12.90%,,6.67%,51.61%,86.67%,93.55%,96.77%,96.43%,96.77%,83.33%,87.10%,23.33%
CP01CNSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-SBD12-04-PCO2AA000,,,,,33.33%,96.77%,100.00%,60.71%,,,,,,,,,,9.68%,,,,,12.90%,,,,,29.03%,100.00%,100.00%,100.00%,100.00%,100.00%,10.00%,61.29%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,45.16%,25.81%,14.29%,41.94%,100.00%,93.55%,23.33%
CP01CNSM-SBD12-05-WAVSSA000,,,,,33.33%,100.00%,100.00%,60.71%,,,,,,,,,,9.68%,,,,,80.65%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,10.00%,61.29%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,45.16%,25.81%,17.86%,48.39%,100.00%,100.00%,30.00%
CP01CNSM-SBD12-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-SBD12-08-FDCHPA000,,,,,,,,,,,,,,,,,,9.68%,,,,,80.65%,100.00%,96.77%,96.77%,96.67%,96.77%,100.00%,100.00%,100.00%,100.00%,100.00%,10.00%,61.29%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,51.61%,29.03%,25.00%,45.16%,100.00%,100.00%,30.00%
CP01CNSP-SP001-02-OPTAAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-03-NUTNRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-05-VELPTJ000,,,,,,,,,,,,,,,,,,,,,,,,,25.81%,51.61%,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-06-DOSTAJ000,,,,,,,,,,,,,,,,,,,,,,,,,25.81%,51.61%,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-07-SPKIRJ000,,,,,,,,,,,,,,,,,,,,,,,,,25.81%,51.61%,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-08-CTDPFJ000,,,,,,,,,,,,,,,,,,,,,,,,,25.81%,51.61%,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-09-FLORTJ000,,,,,,,,,,,,,,,,,,,,,,,,,25.81%,51.61%,,,,,,,,,,,,,,,,,,,,,,
CP01CNSP-SP001-10-PARADJ000,,,,,,,,,,,,,,,,,,,,,,,,,25.81%,51.61%,,,,,,,,,,,,,,,,,,,,,,
CP02PMCI-RII01-02-ADCPTG010,,,,,,,,,,50.00%,100.00%,100.00%,100.00%,100.00%,100.00%,16.13%,3.33%,,,,,,100.00%,100.00%,100.00%,100.00%,100.00%,48.39%,,41.94%,19.35%,,,,32.26%,,100.00%,100.00%,100.00%,6.45%,43.33%,41.94%,,,,,,
CP02PMCI-WFP01-01-VEL3DK000,,,,,,,,,,40.00%,87.10%,83.33%,64.52%,25.81%,,58.06%,76.67%,,,,,,83.87%,86.67%,87.10%,83.87%,86.67%,87.10%,83.33%,87.10%,83.87%,86.21%,87.10%,86.67%,80.65%,,80.65%,87.10%,86.67%,80.65%,86.67%,87.10%,70.97%,17.86%,,,,
CP02PMCI-WFP01-02-DOFSTK000,,,,,,,,,,40.00%,87.10%,83.33%,67.74%,,,58.06%,76.67%,,,,,,83.87%,86.67%,87.10%,83.87%,86.67%,87.10%,83.33%,87.10%,83.87%,86.21%,87.10%,86.67%,77.42%,,80.65%,87.10%,86.67%,80.65%,86.67%,87.10%,70.97%,21.43%,,,,
CP02PMCI-WFP01-03-CTDPFK000,,,,,,,,,,40.00%,87.10%,83.33%,67.74%,,,58.06%,76.67%,,,,,,83.87%,86.67%,87.10%,83.87%,86.67%,87.10%,83.33%,87.10%,83.87%,86.21%,87.10%,86.67%,80.65%,,80.65%,87.10%,86.67%,80.65%,86.67%,87.10%,70.97%,21.43%,,,,
CP02PMCI-WFP01-04-FLORTK000,,,,,,,,,,46.67%,100.00%,100.00%,80.65%,,,67.74%,93.33%,,,,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,96.77%,,96.77%,100.00%,100.00%,96.77%,100.00%,100.00%,87.10%,25.00%,,,,
CP02PMCI-WFP01-05-PARADK000,,,,,,,,,,46.67%,100.00%,100.00%,80.65%,,,67.74%,93.33%,,,,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,96.77%,,96.77%,100.00%,100.00%,96.77%,100.00%,100.00%,87.10%,25.00%,,,,
CP02PMCO-RII01-02-ADCPTG010,,,,,,,,,,60.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.55%,100.00%,100.00%,100.00%,100.00%,9.68%,,38.71%,100.00%,100.00%,100.00%,16.67%,96.77%,100.00%,100.00%,87.10%,100.00%,61.29%,,,
CP02PMCO-WFP01-01-VEL3DK000,,,,,,,,,,53.33%,87.10%,83.33%,61.29%,19.35%,,70.97%,83.33%,87.10%,87.10%,82.14%,83.87%,86.67%,83.87%,86.67%,87.10%,83.87%,86.67%,80.65%,83.33%,87.10%,83.87%,86.21%,6.45%,,29.03%,86.67%,83.87%,87.10%,13.33%,80.65%,86.67%,87.10%,70.97%,85.71%,51.61%,,,
CP02PMCO-WFP01-02-DOFSTK000,,,,,,,,,,53.33%,87.10%,83.33%,58.06%,,,70.97%,83.33%,87.10%,87.10%,85.71%,83.87%,83.33%,83.87%,86.67%,87.10%,83.87%,86.67%,77.42%,83.33%,87.10%,83.87%,86.21%,6.45%,,29.03%,86.67%,83.87%,87.10%,13.33%,80.65%,86.67%,87.10%,70.97%,85.71%,51.61%,,,
CP02PMCO-WFP01-03-CTDPFK000,,,,,,,,,,53.33%,87.10%,83.33%,58.06%,,,70.97%,83.33%,87.10%,87.10%,85.71%,83.87%,86.67%,83.87%,86.67%,87.10%,83.87%,86.67%,80.65%,83.33%,87.10%,83.87%,86.21%,6.45%,,29.03%,86.67%,83.87%,87.10%,13.33%,80.65%,86.67%,87.10%,70.97%,85.71%,51.61%,,,
CP02PMCO-WFP01-04-FLORTK000,,,,,,,,,,60.00%,100.00%,100.00%,70.97%,,,80.65%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.55%,100.00%,100.00%,100.00%,100.00%,9.68%,,35.48%,100.00%,100.00%,100.00%,16.67%,93.55%,100.00%,100.00%,87.10%,100.00%,61.29%,,,
CP02PMCO-WFP01-05-PARADK000,,,,,,,,,,60.00%,100.00%,100.00%,70.97%,,,80.65%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.55%,100.00%,100.00%,100.00%,100.00%,9.68%,,35.48%,100.00%,100.00%,100.00%,16.67%,93.55%,100.00%,100.00%,87.10%,100.00%,61.29%,,,
CP02PMUI-RII01-02-ADCPTG010,,,,,,,,,,63.33%,100.00%,100.00%,100.00%,100.00%,100.00%,61.29%,100.00%,41.94%,,,,,93.55%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,10.00%,35.48%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,87.10%,46.43%,,,,
CP02PMUI-WFP01-01-VEL3DK000,,,,,,,,,,53.33%,87.10%,83.33%,61.29%,19.35%,,32.26%,,,,,,,80.65%,86.67%,87.10%,83.87%,86.67%,87.10%,83.33%,87.10%,83.87%,86.21%,87.10%,6.67%,29.03%,86.67%,83.87%,87.10%,86.67%,83.87%,86.67%,87.10%,70.97%,39.29%,,,,
CP02PMUI-WFP01-02-DOFSTK000,,,,,,,,,,53.33%,87.10%,83.33%,58.06%,,,32.26%,,,,,,,80.65%,86.67%,87.10%,83.87%,86.67%,87.10%,83.33%,87.10%,83.87%,86.21%,87.10%,6.67%,29.03%,86.67%,83.87%,87.10%,86.67%,83.87%,86.67%,87.10%,70.97%,39.29%,,,,
CP02PMUI-WFP01-03-CTDPFK000,,,,,,,,,,53.33%,87.10%,83.33%,58.06%,,,32.26%,,,,,,,80.65%,86.67%,87.10%,83.87%,86.67%,87.10%,83.33%,87.10%,83.87%,86.21%,87.10%,6.67%,29.03%,86.67%,83.87%,87.10%,86.67%,83.87%,86.67%,87.10%,70.97%,39.29%,,,,
