node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE01ISSM-MFD35,,,,,,,,,,,,,,,,61%,65%,53%,,,,,,,,,,,,,2%,43%,,,,,,,,
CE01ISSM-MFD37,,,,,,,,,,,,,,,,89%,96%,73%,,,,,,,,,,,,,,,7%,19%,6%,,,,,
CE01ISSM-RID16,,,,,,,,,,91%,91%,90%,90%,33%,,81%,80%,64%,,72%,93%,94%,93%,,,,36%,71%,67%,10%,1%,44%,44%,44%,41%,0%,,,,
CE01ISSM-SBD17,,,,,,,,,,33%,33%,33%,33%,12%,,31%,33%,27%,,26%,33%,33%,33%,,,,15%,33%,33%,9%,1%,33%,33%,33%,33%,1%,,,,
CE01ISSP-SP001,,,,,,,,,,,,,,,,,,2%,,,,,,,,,,10%,,,,,,,,,,,,
CE02SHBP-LJ01D,,,,,,,,,,54%,68%,67%,69%,70%,71%,70%,62%,69%,71%,71%,71%,71%,64%,52%,43%,36%,29%,29%,31%,71%,71%,68%,57%,57%,55%,57%,57%,57%,57%,57%
CE02SHSM-RID26,,,,,,,,,,,,,,91%,97%,97%,97%,97%,62%,79%,97%,97%,97%,97%,97%,97%,87%,77%,77%,77%,77%,61%,60%,60%,55%,60%,37%,,,
CE02SHSM-RID27,,,,,,,,,,,,,,87%,88%,90%,90%,88%,65%,73%,88%,90%,88%,90%,90%,90%,88%,90%,77%,69%,73%,90%,97%,97%,90%,96%,59%,,,
CE02SHSM-SBD11,,,,,,,,,,,,,,48%,50%,50%,50%,40%,,40%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,47%,50%,31%,,,
CE02SHSM-SBD12,,,,,,,,,,,,,,72%,67%,67%,67%,67%,49%,53%,67%,67%,67%,67%,67%,67%,83%,100%,100%,100%,100%,99%,100%,100%,58%,30%,20%,,,
CE02SHSP-SP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C,7%,,,,,,,,,15%,43%,41%,29%,29%,29%,29%,29%,53%,57%,64%,57%,51%,41%,43%,43%,39%,43%,42%,35%,71%,71%,71%,71%,71%,59%,57%,57%,57%,57%,57%
CE04OSPD-DP01B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-PC01B,,,,,,,,,,,19%,21%,24%,25%,25%,25%,12%,23%,25%,44%,50%,48%,48%,50%,50%,43%,50%,50%,35%,25%,25%,25%,25%,25%,24%,25%,25%,25%,25%,25%
CE04OSPS-SF01B,,,,,,,,,,10%,10%,10%,10%,10%,10%,10%,10%,66%,70%,70%,67%,60%,60%,60%,60%,49%,60%,60%,57%,84%,88%,84%,74%,85%,71%,79%,80%,80%,80%,80%
CE04OSSM-RID26,,,,,,,,,,,,,,78%,97%,97%,97%,97%,97%,88%,77%,77%,77%,77%,77%,77%,62%,77%,77%,77%,77%,77%,77%,79%,75%,80%,49%,,,
CE04OSSM-RID27,,,,,,,,,,,,,,73%,88%,90%,90%,88%,90%,90%,88%,90%,81%,65%,67%,66%,64%,90%,88%,90%,90%,88%,90%,94%,90%,96%,59%,,,
CE04OSSM-SBD11,,,,,,,,,,,,,,40%,50%,50%,50%,50%,50%,50%,50%,50%,48%,3%,,,26%,50%,50%,50%,50%,50%,50%,50%,47%,50%,31%,,,
CE04OSSM-SBD12,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,61%,50%,50%,50%,50%,66%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE05MOAS-GL247,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,53%,,,10%,100%,100%,93%,13%,,,,,
CE05MOAS-GL311,,,,,,,,,,13%,,,,,,,,,,,,,26%,80%,34%,,,,,,,,,,,,,,,
CE05MOAS-GL312,,,,,,,,,,,,,,,,93%,,,,,,,26%,80%,36%,,,,,,29%,78%,80%,36%,,,,,,
CE05MOAS-GL319,,,,,,,,,,,,,,,,,,,,72%,53%,,,,,,,19%,,,,,,,,,,54%,43%,
CE05MOAS-GL320,,,,,,,,,,59%,,,,,,,,,,,,,,,,,,40%,80%,57%,,,,,,,,55%,48%,
CE05MOAS-GL326,,,,,,,,,,,,,,63%,82%,80%,21%,,,44%,24%,,,36%,80%,27%,,,,,,,,,67%,80%,78%,17%,,
