platform,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE01ISSM,,,,,,,,,,19%,25%,20%,20%,10%,,35%,46%,46%,46%,46%,45%,17%,,70%,71%,57%,,36%,47%,47%,47%,,,,18%,37%,35%,6%,1%,36%,26%,28%,24%,0%,,,,
CE01ISSP,,,,,,,,,,20%,2%,,,,,,,,,,,,,,,2%,,,,,,,,,,10%,,,,,,,,,,,,
CE02SHBP,,,,,,,,,,,,,,,14%,71%,70%,54%,68%,67%,69%,70%,71%,70%,62%,69%,71%,71%,71%,71%,64%,52%,43%,36%,29%,29%,31%,71%,71%,68%,57%,57%,55%,57%,57%,57%,57%,57%
CE02SHSM,,,,,,,,,,,,,,,,,,,,,,80%,81%,82%,82%,80%,51%,66%,81%,82%,81%,82%,82%,82%,81%,82%,78%,76%,77%,76%,78%,78%,64%,63%,39%,,,
CE02SHSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP,7%,,,,,,,,,,,,,13%,17%,46%,43%,15%,43%,41%,29%,29%,29%,29%,29%,53%,57%,64%,57%,51%,41%,43%,43%,39%,43%,42%,35%,71%,71%,71%,71%,71%,59%,57%,57%,57%,57%,57%
CE04OSPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS,,,,,,,,,,,,,,,,6%,9%,7%,12%,13%,14%,14%,14%,14%,11%,54%,57%,63%,62%,56%,56%,57%,57%,48%,57%,57%,51%,67%,70%,67%,60%,68%,57%,64%,64%,64%,64%,64%
CE04OSSM,,,,,,,,,,,,,,,,,,,,,,71%,87%,88%,88%,87%,88%,85%,79%,75%,70%,58%,58%,58%,58%,81%,80%,81%,81%,80%,81%,82%,78%,84%,51%,,,
CE05MOAS,,,,,,,,,,9%,23%,14%,4%,,,19%,21%,12%,6%,14%,9%,24%,22%,35%,12%,11%,13%,31%,26%,3%,4%,16%,12%,2%,15%,20%,11%,5%,4%,22%,22%,17%,8%,17%,20%,21%,16%,6%
CE06ISSM,,,,,,,,,,,,,,,,49%,56%,37%,37%,36%,35%,54%,60%,62%,61%,56%,49%,41%,33%,25%,25%,19%,,,45%,40%,28%,,6%,36%,25%,23%,16%,0%,0%,38%,56%,52%
CE06ISSP,,,,,,,,,,,,,,,,,,,,,,,3%,,10%,7%,,,,,,,,,11%,,12%,41%,,,,,,,,,,
CE07SHSM,,,,,,,,,,,,,,,,,,,,,,28%,49%,52%,49%,45%,34%,31%,49%,43%,49%,50%,48%,46%,70%,71%,66%,51%,49%,54%,52%,41%,,,,50%,71%,46%
CE07SHSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSPM,,,,,,,,,,31%,,,,,,72%,90%,92%,92%,91%,90%,90%,90%,92%,92%,90%,92%,90%,90%,17%,,,,,59%,92%,90%,92%,91%,41%,,,,,,57%,77%,79%
CE09OSSM,,,,,,,,,,,,,,,,,,,,,,42%,46%,14%,14%,14%,12%,29%,18%,14%,14%,14%,14%,14%,35%,50%,49%,50%,50%,58%,57%,55%,49%,47%,29%,45%,69%,69%
