refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE01ISSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,10%,,,,,,,,93%,100%,81%,,,,,,,,,,,,,3%,,,,,,,,,
CE01ISSM-MFD35-02-PRESFA000,,,,,,,,,,43%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSM-MFD35-04-ADCPTM000,,,,,,,,,,43%,32%,,,,,10%,,,,,,,,93%,97%,81%,,,,,,,,,,,,,3%,94%,,,,,,,,
CE01ISSM-MFD35-05-PCO2WB000,,,,,,,,,,,3%,,,,,,,,,,,,,23%,29%,23%,,,,,,,,,,,,,,26%,,,,,,,,
CE01ISSM-MFD35-06-PHSEND000,,,,,,,,,,43%,32%,,,,,10%,,,,,,,,93%,100%,81%,,,,,,,,,,,,,3%,94%,,,,,,,,
CE01ISSM-MFD37-01-OPTAAD000,,,,,,,,,,37%,,,,,,10%,,,,,,,,80%,87%,65%,,,,,,,,,,,,,,,,,,,,,,
CE01ISSM-MFD37-03-CTDBPC000,,,,,,,,,,,,,,,,10%,,,,,,,,93%,100%,77%,,,,,,,,,,,,,,,10%,29%,10%,,,,,
CE01ISSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,10%,,,,,,,,93%,100%,77%,,,,,,,,,,,,,,,10%,29%,10%,,,,,
CE01ISSM-RID16-01-OPTAAD000,,,,,,,,,,37%,3%,,,,,61%,83%,87%,87%,86%,84%,33%,,80%,87%,68%,,68%,83%,87%,84%,,,,39%,87%,74%,,,,,,,,,,,
CE01ISSM-RID16-02-FLORTD000,,,,,,,,,,47%,100%,100%,100%,52%,,71%,100%,100%,100%,100%,100%,37%,,93%,100%,81%,,77%,100%,100%,100%,,,,45%,100%,100%,,3%,100%,100%,100%,100%,,,,,
