refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GA01SUMO-RID16-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,87%,100%,100%,83%,100%,100%,100%,100%,100%,100%,100%,77%,100%,97%,87%,93%,100%,100%,100%,74%,77%,87%,87%
GA01SUMO-RID16-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,48%,87%,84%,87%,87%,77%,87%,87%,77%,87%,84%,86%,87%,87%,84%,87%,74%,87%,87%,84%,90%,87%,84%,86%,61%,77%,87%,60%
GA01SUMO-RID16-03-CTDBPF000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,16%,,,,,
GA01SUMO-RID16-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,68%,,,
GA01SUMO-RID16-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,,13%,30%,26%,30%,26%,29%,27%,29%,33%,26%,29%,28%,29%,27%,29%,27%,29%,13%,,3%,27%,29%,29%,25%,23%,27%,26%,30%
GA01SUMO-RID16-06-DOSTAD000,,,,,,,,,,,,,,,,,,,,,48%,87%,84%,87%,87%,77%,87%,87%,73%,87%,84%,86%,87%,87%,84%,87%,77%,87%,87%,84%,90%,87%,84%,86%,61%,77%,87%,87%
GA01SUMO-RID16-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,74%,83%,94%,57%
GA01SUMO-RID16-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,48%,87%,84%,93%,81%,23%,3%,,47%,87%,84%,86%,87%,87%,84%,87%,71%,87%,87%,81%,90%,87%,84%,86%,61%,77%,87%,87%
GA01SUMO-RII11-02-ADCPSN010,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,32%,100%,77%,90%,90%,97%,100%,100%,93%,94%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDBPP031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,71%,87%,86%,94%,93%,,,,,,16%,100%,100%,100%,100%,74%,90%,35%,
