refdes,stream,timestamp
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-08-28
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-08-29
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-08-31
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-04
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-08-30
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-03
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-01
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-02
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-06
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-08
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-07
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-09
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-05
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-11
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-13
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-14
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-10
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-17
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-12
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-16
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-15
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-19
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-18
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-20
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-21
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-25
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2014-09-24
