platform,2013-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
RS01SBPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS,,,,0.6048387096774194,0.5458333333333333,0.4798387096774193,0.6875,0.7120535714285714,0.7258064516129032,0.7270833333333334,0.8064516129032258,0.7958333333333334,0.752016129032258,0.7963709677419355,0.8125,0.7620967741935482,0.7458333333333336,0.8125,0.7883064516129032,0.75,0.75,0.6749999999999999,0.7439516129032258,0.7479166666666667,0.6814516129032258,0.7137096774193549,0.7416666666666667,0.747983870967742,0.7479166666666667,0.745967741935484,0.5866935483870968,0.2142857142857143,0.22782258064516128,0.1875,0.1875,0.1875,0.1693548387096774,0.6471774193548385,0.6562500000000001,,
RS01SLBS,,0.05529953917050691,0.4857142857142857,0.7142857142857143,0.6761904761904762,0.6589861751152074,0.7142857142857143,0.6887755102040817,0.6912442396313364,0.7047619047619048,0.7142857142857143,0.7142857142857143,0.5529953917050692,0.7142857142857143,0.7142857142857143,0.7004608294930875,0.7095238095238096,0.7050691244239632,0.7050691244239632,0.7044334975369458,0.7050691244239632,0.5619047619047619,0.5576036866359447,0.5571428571428572,0.5668202764976958,0.7004608294930875,0.7047619047619048,0.7004608294930875,0.5857142857142857,0.5622119815668203,0.5253456221198156,0.5612244897959184,0.5576036866359447,0.5571428571428572,0.5622119815668203,0.5619047619047619,0.5207373271889401,0.18433179723502305,0.14285714285714285,,
RS01SUM1,,,0.43333333333333335,1.0,0.9333333333333333,0.9032258064516129,1.0,0.9464285714285714,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.967741935483871,0.967741935483871,0.9655172413793103,0.967741935483871,0.9666666666666667,0.9516129032258065,0.9666666666666667,0.9032258064516129,0.967741935483871,0.9666666666666667,0.9516129032258065,0.9666666666666667,0.967741935483871,0.9354838709677419,0.9642857142857143,0.9516129032258065,0.95,0.967741935483871,0.9666666666666667,0.967741935483871,0.967741935483871,0.9666666666666667,,
RS01SUM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03ASHS,,,0.03333333333333333,0.43548387096774194,0.38333333333333336,0.3709677419354839,0.4838709677419355,0.4107142857142857,0.46774193548387094,0.5,0.5,0.4666666666666667,0.2903225806451613,0.41935483870967744,0.43333333333333335,0.43548387096774194,0.4166666666666667,0.43548387096774194,0.41935483870967744,0.43103448275862066,0.43548387096774194,0.43333333333333335,0.41935483870967744,0.43333333333333335,0.41935483870967744,0.43548387096774194,0.43333333333333335,0.41935483870967744,0.43333333333333335,0.43548387096774194,0.4032258064516129,0.42857142857142855,0.43548387096774194,0.4166666666666667,0.43548387096774194,0.43333333333333335,0.41935483870967744,0.41935483870967744,0.43333333333333335,,
RS03AXBS,,0.2119815668202765,0.7142857142857143,0.7142857142857143,0.6857142857142858,0.6589861751152074,0.7142857142857143,0.6887755102040817,0.6912442396313364,0.7095238095238096,0.5806451612903226,0.31428571428571433,0.3364055299539171,0.5714285714285714,0.5619047619047619,0.5668202764976958,0.5619047619047619,0.5622119815668203,0.5622119815668203,0.5615763546798029,0.5622119815668203,0.46190476190476193,0.4147465437788019,0.3904761904761905,0.511520737327189,0.7050691244239632,0.7047619047619048,0.7004608294930875,0.7047619047619048,0.7050691244239632,0.5714285714285714,0.5612244897959184,0.5622119815668203,0.5571428571428572,0.5622119815668203,0.5619047619047619,0.5622119815668203,0.5576036866359447,0.5619047619047619,,
RS03AXPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS,,,,0.6431451612903226,0.35416666666666663,0.49395161290322587,0.7379032258064516,0.6830357142857143,0.7036290322580645,0.66875,0.6875,0.6541666666666667,0.6814516129032258,0.7459677419354839,0.7395833333333334,0.747983870967742,0.74375,0.683467741935484,0.6875,0.6875,0.6915322580645161,0.5854166666666666,0.6875,0.66875,0.7137096774193548,0.7883064516129032,0.7166666666666667,0.7641129032258065,0.7479166666666667,0.6250000000000001,0.594758064516129,0.5736607142857143,0.560483870967742,0.5625,0.5504032258064516,0.5583333333333333,0.49798387096774194,0.743951612903226,0.70625,,
RS03CCAL,,0.0967741935483871,1.0,1.0,1.0,0.9032258064516129,1.0,0.9285714285714286,0.967741935483871,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
RS03ECAL,0.03225806451612903,,0.9333333333333333,1.0,1.0,0.9032258064516129,1.0,0.9285714285714286,0.967741935483871,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
RS03INT1,,,0.29333333333333333,0.4,0.4,0.34838709677419355,0.3935483870967742,0.35,0.37419354838709673,0.4,0.4,0.39333333333333337,0.2645161290322581,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1935483870967742,0.2,0.17419354838709677,0.2,0.2,0.2,0.2,0.1935483870967742,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.14838709677419354,0.2,,
RS03INT2,,0.0967741935483871,1.0,1.0,0.9666666666666667,0.9032258064516129,1.0,0.9464285714285714,0.967741935483871,1.0,1.0,1.0,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9516129032258065,1.0,1.0,1.0,1.0,0.967741935483871,1.0,,
