refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-01-CTDPFL104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-02-VEL3DA103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-03-FLCDRA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-04-FLNTUA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-05-OPTAAC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-06-DOSTAD104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-05-ADCPTD102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-06-VADCPA101,,,,,,,,,,,,,,,,,,,,,,,0.9032258064516129,1.0,0.9354838709677419,0.7419354838709677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,0.6451612903225806,,,,,0.9032258064516129,1.0,,
RS01SBPS-PC01A-4A-CTDPFA103,,,,,,,,,,,,,,,,0.967741935483871,0.9333333333333333,0.7419354838709677,1.0,0.9642857142857143,0.967741935483871,1.0,1.0,1.0,0.9354838709677419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,0.2903225806451613,0.4642857142857143,1.0,1.0,1.0,1.0,0.9032258064516129,0.9032258064516129,1.0,,
