refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,0.0967741935483871,,,,,,,,0.9333333333333333,1.0,0.8064516129032258,,,,,,,,,,,,,0.03333333333333333,,,,,,,0.4,0.22580645161290322,,,,,,
CE01ISSM-MFD35-02-PRESFA000,,,,,,,,,,0.43333333333333335,0.3225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSM-MFD35-04-ADCPTM000,,,,,,,,,,0.43333333333333335,0.3225806451612903,,,,,0.0967741935483871,,,,,,,,0.9333333333333333,0.967741935483871,0.8064516129032258,,,,,,,,,,,,,0.03333333333333333,0.9354838709677419,,,,,,0.4,0.3870967741935484,,,,,,
CE01ISSM-MFD35-05-PCO2WB000,,,,,,,,,,,0.03225806451612903,,,,,,,,,,,,,0.23333333333333334,0.2903225806451613,0.22580645161290322,,,,,,,,,,,,,,0.25806451612903225,,,,,,0.1,,,,,,,
CE01ISSM-MFD35-06-PHSEND000,,,,,,,,,,0.43333333333333335,0.3225806451612903,,,,,0.0967741935483871,,,,,,,,0.9333333333333333,1.0,0.8064516129032258,,,,,,,,,,,,,0.03333333333333333,0.9354838709677419,,,,,,0.4,0.3870967741935484,,,,,,
CE01ISSM-MFD37-01-OPTAAD000,,,,,,,,,,0.36666666666666664,,,,,,0.0967741935483871,,,,,,,,0.8,0.8709677419354839,0.6451612903225806,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,,
CE01ISSM-MFD37-03-CTDBPC000,,,,,,,,,,,,,,,,0.0967741935483871,,,,,,,,0.9333333333333333,1.0,0.7741935483870968,,,,,,,,,,,,,0.03333333333333333,1.0,1.0,1.0,1.0,0.17857142857142858,,0.4,1.0,1.0,1.0,1.0,1.0,,
CE01ISSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,0.0967741935483871,,,,,,,,0.9333333333333333,1.0,0.7741935483870968,,,,,,,,,,,,,0.03333333333333333,1.0,1.0,1.0,1.0,0.17857142857142858,,0.4,1.0,1.0,1.0,1.0,1.0,,
CE01ISSM-RID16-01-OPTAAD000,,,,,,,,,,0.36666666666666664,0.03225806451612903,,,,,0.6129032258064516,0.8333333333333334,0.8709677419354839,0.8709677419354839,0.8571428571428571,0.8387096774193549,0.3333333333333333,,0.8,0.8709677419354839,0.6774193548387096,,0.6774193548387096,0.8333333333333334,0.8709677419354839,0.8387096774193549,,,,0.3870967741935484,0.8666666666666667,0.7419354838709677,,,,,,,,,0.3333333333333333,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,,
CE01ISSM-RID16-02-FLORTD000,,,,,,,,,,0.4666666666666667,1.0,1.0,1.0,0.5161290322580645,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,1.0,1.0,,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.4,1.0,1.0,1.0,1.0,1.0,,
CE01ISSM-RID16-03-CTDBPC000,,,,,,,,,,,,,,,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,1.0,1.0,0.2903225806451613,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.4,1.0,0.7,,,,,
CE01ISSM-RID16-03-DOSTAD000,,,,,,,,,,,,,,,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,1.0,1.0,0.2903225806451613,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.4,1.0,0.7,,,,,
CE01ISSM-RID16-04-VELPTA000,,,,,,,,,,,,,,,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.7,,,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,0.2,,,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.03333333333333333,,,1.0,,,,
CE01ISSM-RID16-05-PCO2WB000,,,,,,,,,,,0.03225806451612903,,,,,0.1935483870967742,0.26666666666666666,0.2903225806451613,0.2903225806451613,0.2857142857142857,0.25806451612903225,0.1,,0.23333333333333334,0.2903225806451613,0.22580645161290322,,0.41935483870967744,0.5666666666666667,0.5483870967741935,0.5483870967741935,,,,0.12903225806451613,0.3333333333333333,0.2903225806451613,0.06451612903225806,,,,,,,,0.1,,,,,,,
CE01ISSM-RID16-06-PHSEND000,,,,,,,,,,0.36666666666666664,1.0,1.0,1.0,0.5161290322580645,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,1.0,1.0,0.25806451612903225,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.4,1.0,1.0,1.0,1.0,1.0,,
CE01ISSM-RID16-07-NUTNRB000,,,,,,,,,,0.4666666666666667,1.0,1.0,1.0,0.5161290322580645,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
CE01ISSM-RID16-08-SPKIRB000,,,,,,,,,,0.4666666666666667,1.0,1.0,1.0,0.5161290322580645,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,1.0,1.0,,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.4,1.0,1.0,1.0,1.0,1.0,,
CE01ISSM-SBD17-04-VELPTA000,,,,,,,,,,,,,,,,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,,0.9333333333333333,1.0,0.8064516129032258,,0.7741935483870968,1.0,1.0,1.0,,,,0.45161290322580644,1.0,1.0,0.25806451612903225,0.03333333333333333,1.0,1.0,1.0,1.0,0.03571428571428571,,0.4,1.0,1.0,1.0,1.0,1.0,,
