node,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CP01CNPM-RII01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-MFD35,0.2733333333333333,0.6580645161290322,0.2967741935483871,,,,,,,,,,,0.025806451612903226,,,,,0.3290322580645161,,,,,,,,,,,,0.3225806451612903,0.3266666666666667,0.3870967741935484,0.3870967741935484,0.38,0.22580645161290325,0.18666666666666668,0.1935483870967742,0.14193548387096774,,,,,0.5866666666666667,0.8,0.4645161290322581,0.5066666666666666,,
CP01CNSM-MFD37,0.3333333333333333,1.0,1.0,0.6071428571428571,,,,,,,,,,0.06451612903225806,,,,,0.3333333333333333,,,,,,,,,,,,0.6129032258064516,0.8000000000000002,0.967741935483871,0.7311827956989246,0.6222222222222222,0.7634408602150539,0.9555555555555556,0.956989247311828,0.6666666666666666,,,,,0.7000000000000001,0.946236559139785,0.5268817204301075,0.37777777777777777,,
CP01CNSM-RID26,0.15833333333333333,0.3467741935483871,,,,,,,,,,,,0.08870967741935483,,,,0.06666666666666667,0.8225806451612903,0.9666666666666667,0.9274193548387097,0.7096774193548387,0.7166666666666667,0.6612903225806451,0.5,0.5,0.5,0.5,0.31451612903225806,0.016666666666666666,0.43548387096774194,0.6833333333333333,0.25,0.467741935483871,0.45833333333333337,0.7580645161290323,0.7416666666666667,0.6693548387096774,0.6209677419354839,0.625,0.6532258064516129,0.7,0.6693548387096775,0.8916666666666667,0.9596774193548387,0.5483870967741936,0.9666666666666667,,
CP01CNSM-RID27,0.32499999999999996,0.9596774193548387,0.967741935483871,0.5803571428571429,,,,,,,,,,0.056451612903225805,,,,,0.5080645161290323,0.65,0.6532258064516129,0.6290322580645161,0.65,0.45967741935483875,,,,,,,0.41129032258064513,0.6416666666666666,0.282258064516129,0.467741935483871,0.425,0.564516129032258,0.65,0.6854838709677419,0.685483870967742,0.7053571428571429,0.7016129032258065,0.55,0.5887096774193549,0.8166666666666667,0.8790322580645162,0.5080645161290323,0.9,,
CP01CNSM-SBD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-SBD12,0.16666666666666666,0.49193548387096775,0.5,0.30357142857142855,,,,,,,,,,0.07258064516129031,,,,,0.4354838709677419,0.5,0.49193548387096775,0.49193548387096775,0.4916666666666667,0.564516129032258,0.75,0.75,0.75,0.75,0.75,0.07500000000000001,0.45967741935483875,0.75,0.75,0.75,0.75,0.75,0.75,0.3548387096774194,0.20161290322580644,0.14285714285714285,0.33870967741935487,0.75,0.7338709677419355,0.75,0.75,0.75,0.75,,
CP01CNSP-SP001,,,,,,,,,,,,,,,,,,,,,0.1935483870967742,0.3870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP02PMCI-RII01,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,0.16129032258064516,0.03333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,0.4838709677419355,,0.41935483870967744,0.1935483870967742,,,,0.3225806451612903,,1.0,1.0,1.0,0.06451612903225806,0.43333333333333335,0.41935483870967744,,,,,,0.5,1.0,1.0,1.0,,
