refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
RS01SBPD-DP01A-01-CTDPFL104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-02-VEL3DA103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-03-FLCDRA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-04-FLNTUA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-05-OPTAAC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-06-DOSTAD104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-05-ADCPTD102,,,,,,,,,,,,,,,,97%,93%,74%,100%,96%,97%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
RS01SBPS-PC01A-06-VADCPA101,,,,,,,,,,,,,,,,,,,,,,,90%,100%,94%,74%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%,97%,100%,100%,100%,100%,100%,97%,100%,65%,,,
RS01SBPS-PC01A-4A-CTDPFA103,,,,,,,,,,,,,,,,97%,93%,74%,100%,96%,97%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,29%,46%,100%,100%,100%,100%
RS01SBPS-PC01A-4A-DOSTAD103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-4B-PHSENA102,,,,,,,,,,,,,,,,97%,100%,74%,100%,96%,97%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,73%,100%,100%,90%,100%,100%,100%,100%,100%,97%,96%,100%,100%,100%,100%
RS01SBPS-PC01A-4C-FLORDD103,,,,,,,,,,,,,,,,97%,93%,26%,,86%,97%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
RS01SBPS-SF01A-2A-CTDPFA102,,,,,,,,,,,,,,,,68%,37%,52%,100%,96%,97%,100%,100%,100%,94%,100%,100%,87%,87%,100%,100%,100%,100%,97%,100%,100%,97%,100%,100%,100%,100%,100%,94%,,,,,
RS01SBPS-SF01A-2A-DOFSTA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-2D-PHSENA101,,,,,,,,,,,,,,,,81%,100%,74%,100%,96%,97%,93%,100%,73%,77%,100%,100%,90%,87%,100%,100%,100%,100%,73%,100%,100%,97%,100%,93%,100%,100%,97%,61%,,,,,
RS01SBPS-SF01A-3A-FLORTD101,,,,,,,,,,,,,,,,68%,37%,52%,100%,96%,97%,100%,100%,100%,94%,100%,100%,90%,87%,100%,100%,100%,100%,97%,100%,100%,97%,100%,100%,100%,100%,100%,94%,,,,,
RS01SBPS-SF01A-3B-OPTAAD101,,,,,,,,,,,,,,,,84%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,61%,,,,,,45%,100%,100%,100%,100%,100%,29%,,,,,
