platform,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GA01SUMO,,,,,,,,,,,,,,,,,,,,,30%,52%,51%,47%,46%,44%,44%,23%,64%,66%,70%,70%,75%,72%,63%,55%,51%,56%,55%,59%,79%,78%,76%,75%,55%,64%,60%,53%
GA02HYPM,,,,,,,,,,,,,,,,,,,,,4%,35%,,,,,,,0%,,,,,,,,,,,,,,,,,,,
GA03FLMA,,,,,,,,,,,,,,,,,,,,,47%,100%,100%,89%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMB,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,91%,27%,,,,26%,23%,,,,,,,,,,,,,,,,,,
GA05MOAS,,,,,,,,,,,,,,,,,,,,,10%,13%,13%,13%,13%,13%,13%,13%,15%,28%,24%,16%,15%,16%,15%,17%,14%,7%,2%,1%,23%,24%,24%,24%,24%,21%,17%,13%
GI01SUMO,,,,,,,,,,,,,,,16%,,,,,,,,,6%,2%,42%,76%,74%,49%,59%,63%,51%,2%,26%,31%,32%,65%,75%,73%,72%,71%,63%,19%,,0%,8%,,
GI02HYPM,,,,,,,,,,,,,,,45%,79%,73%,42%,17%,8%,,,,,,10%,20%,19%,8%,,,,,,,,38%,15%,,,,,,,,,,
GI03FLMA,,,,,,,,,,,,,,,61%,100%,100%,96%,82%,33%,33%,33%,33%,33%,33%,58%,95%,95%,33%,33%,33%,33%,33%,33%,33%,33%,57%,62%,54%,45%,,,,,,,,
GI03FLMB,,,,,,,,,,,,,,,48%,100%,100%,100%,99%,42%,33%,33%,33%,33%,33%,53%,88%,88%,66%,33%,33%,33%,33%,33%,33%,33%,55%,58%,58%,46%,12%,,,,,,,
GI05MOAS,,,,,,,,,,,,,,,8%,8%,8%,8%,8%,8%,8%,2%,,,,15%,26%,26%,16%,10%,10%,10%,5%,,,,6%,8%,8%,9%,8%,8%,1%,,,,,
GP02HYPM,16%,79%,81%,85%,84%,87%,87%,73%,,,,24%,78%,76%,77%,42%,,,,,,,,83%,95%,94%,93%,92%,89%,70%,5%,,,,,,,24%,,,,,,,,,,
GP03FLMA,,,,,,,,,,,,43%,100%,100%,100%,100%,69%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,99%,45%,,,,24%,,,,,,,,,,,
GP03FLMB,26%,99%,100%,100%,98%,100%,100%,96%,,,,34%,94%,94%,94%,94%,28%,,,,,,,69%,94%,94%,93%,93%,86%,75%,76%,23%,,,,,,,,19%,23%,13%,,,,,,
GP05MOAS,6%,16%,15%,15%,12%,9%,8%,8%,2%,2%,8%,3%,3%,4%,4%,3%,3%,3%,3%,3%,2%,1%,2%,21%,24%,24%,24%,24%,22%,19%,19%,17%,7%,1%,,1%,5%,5%,4%,5%,5%,3%,2%,,,,,
GS01SUMO,,,,,,,,,,,,,,,,,,,,22%,62%,62%,38%,7%,20%,42%,8%,9%,18%,62%,72%,68%,66%,65%,57%,47%,50%,53%,50%,56%,43%,66%,74%,68%,67%,62%,51%,43%
GS02HYPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,11%,,,,,,,,,,,,,,,,,
GS03FLMA,,,,,,,,,,,,,,,,,,,,10%,95%,96%,94%,10%,,,,,,45%,77%,11%,,,,,,,,,,,,,,,,
GS03FLMB,,,,,,,,,,,,,,,,,,,,18%,100%,100%,91%,5%,,,,,,48%,93%,22%,,,,,,,,,,,,,,,,
GS05MOAS,,,,,,,,,,,,,,,,,,,,3%,10%,10%,10%,10%,10%,10%,10%,10%,10%,23%,52%,43%,43%,43%,38%,35%,37%,30%,15%,18%,7%,,,,,,,
