node,2013-11,2013-12,2014-01,2014-02,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CP01CNPM-RII01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNPM-WFP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-MFD35,27%,66%,30%,,,,,,,,,,3%,,,,,33%,,,,,,,,,,,,32%,33%,39%,39%,38%,23%,19%,19%,14%,,,,,
CP01CNSM-MFD37,33%,100%,100%,61%,,,,,,,,,6%,,,,,33%,,,,,,,,,,,,61%,80%,97%,73%,62%,76%,96%,96%,67%,,,,,
CP01CNSM-RID26,16%,35%,,,,,,,,,,,9%,,,,7%,82%,97%,93%,71%,72%,66%,50%,50%,50%,50%,31%,2%,44%,68%,25%,47%,46%,76%,74%,67%,62%,63%,65%,71%,70%,20%
CP01CNSM-RID27,33%,96%,97%,58%,,,,,,,,,6%,,,,,51%,65%,65%,63%,65%,46%,,,,,,,41%,64%,28%,47%,43%,56%,65%,69%,69%,71%,70%,63%,65%,18%
CP01CNSM-SBD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM-SBD12,17%,49%,50%,30%,,,,,,,,,7%,,,,,44%,50%,49%,49%,49%,56%,75%,75%,75%,75%,75%,8%,46%,75%,75%,75%,75%,75%,75%,35%,20%,14%,34%,75%,73%,21%
CP01CNSP-SP001,,,,,,,,,,,,,,,,,,,,19%,39%,,,,,,,,,,,,,,,,,,,,,,
CP02PMCI-RII01,,,,,50%,100%,100%,100%,100%,100%,16%,3%,,,,,,100%,100%,100%,100%,100%,48%,,42%,19%,,,,32%,,100%,100%,100%,6%,43%,42%,,,,,,
