platform,2013-11,2013-12,2014-01,2014-02,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CP01CNPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM,24%,64%,49%,26%,,,,,,,,,6%,,,,1%,46%,40%,39%,35%,35%,32%,24%,24%,24%,24%,20%,2%,41%,59%,47%,52%,49%,56%,59%,51%,42%,28%,32%,40%,40%,11%
CP01CNSP,,,,,,,,,,,,,,,,,,,,19%,39%,,,,,,,,,,,,,,,,,,,,,,
CP02PMCI,,,,,44%,94%,92%,77%,21%,17%,54%,70%,,,,,,92%,93%,94%,92%,93%,85%,75%,84%,78%,76%,77%,77%,77%,,89%,94%,93%,74%,84%,84%,65%,18%,,,,
CP02PMCO,,,,,57%,94%,92%,70%,20%,17%,79%,92%,94%,94%,92%,92%,93%,92%,93%,94%,92%,93%,87%,92%,94%,92%,93%,8%,,33%,93%,92%,94%,15%,88%,93%,94%,79%,93%,56%,,,
CP02PMUI,,,,,58%,94%,92%,69%,20%,17%,39%,17%,7%,,,,,87%,93%,94%,92%,93%,94%,92%,94%,92%,93%,94%,8%,31%,93%,92%,94%,93%,92%,93%,94%,79%,43%,,,,
CP02PMUO,4%,,,,3%,,,,,,,,,,,,3%,75%,77%,77%,75%,80%,20%,17%,17%,17%,17%,17%,17%,48%,93%,92%,94%,96%,94%,98%,98%,83%,92%,53%,,,
CP03ISPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP03ISSM,,,,,,,,,,,,,23%,,,,,44%,52%,17%,34%,32%,49%,46%,42%,39%,37%,35%,29%,22%,68%,61%,59%,46%,66%,79%,68%,56%,41%,23%,,,
CP03ISSP,,,,,,,,,,,,,,,,,,,,22%,12%,,,,,,,,,,,,,,,,,,,,,,
CP04OSPM,,,,,49%,92%,90%,92%,90%,92%,92%,95%,97%,97%,97%,97%,97%,90%,92%,92%,94%,97%,95%,90%,92%,90%,92%,92%,92%,80%,96%,97%,97%,87%,34%,,,,,,,,
CP04OSSM,,,,,,,,,,,,,27%,42%,42%,42%,41%,44%,41%,41%,38%,39%,36%,23%,19%,20%,10%,20%,6%,14%,66%,67%,68%,58%,47%,41%,42%,41%,36%,36%,35%,35%,7%
CP05MOAS,,,,,9%,10%,10%,2%,,,23%,26%,12%,15%,17%,10%,9%,11%,13%,5%,5%,5%,15%,20%,9%,8%,10%,10%,9%,9%,16%,12%,7%,4%,,,,7%,14%,14%,12%,9%,9%
