refdes,timestamp
RS01SBPS-PC01A-05-ADCPTD102,2017-07-12
RS01SBPS-PC01A-05-ADCPTD102,2017-07-13
RS01SBPS-PC01A-4A-CTDPFA103,2017-07-12
RS01SBPS-PC01A-4A-CTDPFA103,2017-07-13
RS01SBPS-PC01A-4B-PHSENA102,2017-07-12
RS01SBPS-PC01A-4B-PHSENA102,2017-07-13
RS01SBPS-PC01A-4C-FLORDD103,2017-07-12
RS01SBPS-PC01A-4C-FLORDD103,2017-07-13
RS01SLBS-LJ01A-05-HPIESA101,2017-07-12
RS01SLBS-LJ01A-05-HPIESA101,2017-07-13
RS01SLBS-LJ01A-10-ADCPTE101,2017-07-12
RS01SLBS-LJ01A-10-ADCPTE101,2017-07-13
RS01SLBS-LJ01A-12-CTDPFB101,2017-07-12
RS01SLBS-LJ01A-12-CTDPFB101,2017-07-13
RS01SLBS-MJ01A-06-PRESTA101,2017-07-12
RS01SLBS-MJ01A-12-VEL3DB101,2017-07-12
RS01SLBS-MJ01A-12-VEL3DB101,2017-07-13
RS01SUM1-LJ01B-09-PRESTB102,2017-07-12
RS01SUM1-LJ01B-12-VEL3DB104,2017-07-12
RS01SUM1-LJ01B-12-VEL3DB104,2017-07-13
RS01SUM2-MJ01B-12-ADCPSK101,2017-07-12
RS01SUM2-MJ01B-12-ADCPSK101,2017-07-13
RS03ASHS-MJ03B-07-TMPSFA301,2017-07-12
RS03AXBS-LJ03A-05-HPIESA301,2017-07-12
RS03AXBS-LJ03A-05-HPIESA301,2017-07-13
RS03AXBS-LJ03A-10-ADCPTE303,2017-07-12
RS03AXBS-LJ03A-10-ADCPTE303,2017-07-13
RS03AXBS-LJ03A-12-CTDPFB301,2017-07-12
RS03AXBS-LJ03A-12-CTDPFB301,2017-07-13
RS03AXBS-MJ03A-06-PRESTA301,2017-07-12
RS03AXBS-MJ03A-12-VEL3DB301,2017-07-12
RS03AXBS-MJ03A-12-VEL3DB301,2017-07-13
RS03AXPS-PC03A-05-ADCPTD302,2017-07-12
RS03AXPS-PC03A-05-ADCPTD302,2017-07-13
RS03AXPS-PC03A-06-VADCPA301,2017-07-12
RS03AXPS-PC03A-06-VADCPA301,2017-07-13
RS03AXPS-PC03A-4A-CTDPFA303,2017-07-12
RS03AXPS-PC03A-4A-CTDPFA303,2017-07-13
RS03AXPS-PC03A-4C-FLORDD303,2017-07-12
RS03AXPS-PC03A-4C-FLORDD303,2017-07-13
RS03AXPS-SF03A-2A-CTDPFA302,2017-07-12
RS03AXPS-SF03A-2A-CTDPFA302,2017-07-13
RS03AXPS-SF03A-3A-FLORTD301,2017-07-12
RS03AXPS-SF03A-3A-FLORTD301,2017-07-13
RS03AXPS-SF03A-3C-PARADA301,2017-07-12
RS03AXPS-SF03A-3C-PARADA301,2017-07-13
RS03AXPS-SF03A-3D-SPKIRA301,2017-07-12
RS03AXPS-SF03A-3D-SPKIRA301,2017-07-13
RS03AXPS-SF03A-4A-NUTNRA301,2017-07-12
RS03AXPS-SF03A-4A-NUTNRA301,2017-07-13
RS03AXPS-SF03A-4B-VELPTD302,2017-07-12
RS03AXPS-SF03A-4B-VELPTD302,2017-07-13
RS03CCAL-MJ03F-05-BOTPTA301,2017-07-13
RS03CCAL-MJ03F-05-BOTPTA301,2017-07-12
RS03ECAL-MJ03E-06-BOTPTA302,2017-07-13
RS03ECAL-MJ03E-06-BOTPTA302,2017-07-12
RS03INT1-MJ03C-10-TRHPHA301,2017-07-12
RS03INT1-MJ03C-10-TRHPHA301,2017-07-13
RS03INT2-MJ03D-06-BOTPTA303,2017-07-13
RS03INT2-MJ03D-06-BOTPTA303,2017-07-12
