refdes,method,stream
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_heat_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_iris_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_lily_leveling
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_lily_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_status
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_heat_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_iris_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_lily_leveling
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_lily_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_status
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_heat_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_iris_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_lily_leveling
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_lily_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_status
