node,,2017-06-28,2017-06-29,2017-06-30,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21
RS01SBPD-DP01A,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SBPS-SF01A,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SLBS-LJ01A,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SLBS-MJ01A,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SUM1-LJ01B,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SUM2-MJ01B,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03ASHS-MJ03B,False,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,
RS03AXBS-LJ03A,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXBS-MJ03A,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPD-DP03A,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03CCAL-MJ03F,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03ECAL-MJ03E,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03INT1-MJ03C,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03INT2-MJ03D,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
