stream,,2017-06-28,2017-06-29,2017-06-30,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21
RS01SBPD-DP01A-01-CTDPFL104-dpc_ctd_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-02-VEL3DA103-dpc_acm_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-03-FLCDRA102-dpc_flcdrtd_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-04-FLNTUA102-dpc_flnturtd_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-05-OPTAAC102-dpc_acs_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-06-DOSTAD104-dpc_optode_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-05-ADCPTD102-adcp_velocity_beam,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-05-ADCPTD102-adcp_velocity_earth,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-06-VADCPA101-adcp_velocity_earth,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-06-VADCPA101-vadcp_velocity_beam,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-06-VADCPA101-vadcp_velocity_beam_5,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-4A-CTDPFA103-ctdpf_optode_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SBPS-PC01A-4A-DOSTAD103-ctdpf_optode_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-4B-PHSENA102-phsen_data_record,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SBPS-PC01A-4C-FLORDD103-flort_d_data_record,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SBPS-SF01A-2A-CTDPFA102-ctdpf_sbe43_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-2A-DOFSTA102-ctdpf_sbe43_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-2D-PHSENA101-phsen_data_record,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-3A-FLORTD101-flort_d_data_record,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-3B-OPTAAD101-optaa_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-3C-PARADA101-parad_sa_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-3D-SPKIRA101-spkir_data_record,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4A-NUTNRA101-nutnr_a_dark_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4A-NUTNRA101-nutnr_a_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4B-VELPTD102-velpt_velocity_data,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4F-PCO2WA101-pco2w_a_sami_data_record,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SLBS-LJ01A-05-HPIESA101-echo_sounding,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SLBS-LJ01A-05-HPIESA101-horizontal_electric_field,False,,,,,,,,,,,,,,,,,,,,,,,,
RS01SLBS-LJ01A-05-HPIESA101-hpies_data_header,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS01SLBS-LJ01A-10-ADCPTE101-adcp_velocity_beam,False,,,,,,,,,,,,,,,,,,,,,,,,
